model_key,model_name,output_kind,band_index,band,global_mae_mean,global_mae_median,global_rmse_mean,global_psnr_mean,global_bias_mean,mask_mae_mean,mask_mae_median,mask_rmse_mean,mask_psnr_mean,mask_bias_mean,n_samples,n_mask_valid
conditional,Conditional GAN dengan Patch Discriminator,blended,4,B5,0.00796539721704903,0.006768843159079552,0.009929376141371904,41.11425942183373,-0.0016622818778463018,0.016889660559753154,0.013719553127884865,0.019498338447095236,35.77922415773023,0.0066029840503598015,192,141
conditional,Conditional GAN dengan Patch Discriminator,blended,5,B6,0.01040495756387827,0.008185775019228458,0.01316161586146336,38.720128340760624,-0.0030781787075587395,0.017703872789952453,0.013887646608054638,0.020346532848747757,35.136615447605244,0.008331522994651211,192,141
conditional,Conditional GAN dengan Patch Discriminator,blended,6,B7,0.011408071324694902,0.0089506721124053,0.014638921562436735,37.89628569051735,-0.003391743820733003,0.019253072766455034,0.015249177813529968,0.02216515734301852,34.230412679744674,0.00779464919809896,192,141
conditional,Conditional GAN dengan Patch Discriminator,blended,7,B8,0.011975449745174652,0.010181185323745012,0.015416411431942834,37.324798396732994,-0.003745921612183641,0.021405381887015087,0.017920242622494698,0.02471652199406052,33.19246258678472,0.007440055676439533,192,141
conditional,Conditional GAN dengan Patch Discriminator,blended,8,B8A,0.01190624171795207,0.009284221567213535,0.015449774217510518,37.45169608993654,-0.0033339042784064077,0.020238379928025792,0.01628766767680645,0.023331941016300144,33.696665238266704,0.00844920983352056,192,141
conditional,Conditional GAN dengan Patch Discriminator,blended,9,B9,0.010073876270325854,0.009473843965679407,0.012195300799551964,39.45407254256502,-0.00373636470612837,0.016236778754899477,0.012496309354901314,0.01853845228607416,35.95611931977343,0.0039578774520394175,192,141
conditional,Conditional GAN dengan Patch Discriminator,blended,10,B10,0.0017200698189299146,0.0012182752834632993,0.0023762878794286735,56.51520500619159,-0.00045871454688040103,0.005267960056150663,0.004300976637750864,0.0061920922075497115,46.34949571869219,0.0013242149825149268,192,141
conditional,Conditional GAN dengan Patch Discriminator,blended,11,B11,0.01090770292224382,0.008261051028966904,0.01505728669144446,38.28315698195931,0.0006339697595952506,0.02769088286226153,0.020052121952176094,0.032150158124891776,31.904111969508165,0.011391787476966796,192,141
conditional,Conditional GAN dengan Patch Discriminator,blended,12,B12,0.009830081338198701,0.007868590299040079,0.013448769813597513,39.406971736549025,0.0006060991687869924,0.02409267024193223,0.018110986799001694,0.028130490792395674,32.99138877524681,0.007942765563724774,192,141
conditional,Conditional GAN dengan Patch Discriminator,raw,0,B1,0.018806879694845218,0.015189188998192549,0.023331529553009506,34.23542238051909,0.0034456737642661515,0.015369917863834622,0.009350916370749474,0.017723157372079364,37.69264420345425,0.0042406190822449966,192,141
