output_kind,model_key,metric,n,mean,median,std,min,q1,q3,max,ci95_low,ci95_high
raw,gan_resnet,rgb_global_mae,192,0.05254934461376957,0.03442978804398435,0.043478486703924804,0.006158337387679,0.021383685095509898,0.06448347338308953,0.1648554723121075,0.04639927719316477,0.058699412034374364
raw,gan_resnet,rgb_mask_mae,141,0.02487988682532329,0.0210485156802904,0.014563651456997347,0.0057545242371242,0.0152615856479954,0.029440289077995,0.0945180004078244,0.0224759846430816,0.02728378900756498
raw,gan_resnet,band13_global_mae,192,0.05595043048970255,0.047386220814844254,0.0330059973593045,0.0063872560558119,0.0337480495641916,0.07243685393726762,0.1503939336056039,0.05128170523193725,0.06061915574746785
raw,gan_resnet,band13_mask_mae,141,0.026795872160652847,0.0241540845470035,0.01278822069374494,0.0060879696844324,0.0180013824600535,0.0330594661408799,0.0941031267084962,0.024685025734297903,0.02890671858700779
raw,gan_resnet,rgb_global_psnr,192,25.923703164136338,26.687520529618855,6.154905978355226,13.763124211977464,21.194163863607894,31.086569003234906,40.533755072598126,25.05308669139348,26.794319636879194
raw,gan_resnet,rgb_mask_psnr,141,31.3154892852188,31.40321499629516,4.2016076317261035,19.821735213032184,28.831897982755773,34.444895880963536,42.32692024166085,30.621964465248126,32.00901410518947
raw,gan_resnet,band13_global_psnr,192,23.357781797993017,22.584340039849913,4.967878562311616,14.669068128357337,19.853904073571506,26.092415615278075,40.2447603187978,22.655071321806282,24.06049227417975
raw,gan_resnet,band13_mask_psnr,141,29.90669402264224,30.06604617513204,3.709163041138191,18.728214916947373,27.530310120169403,32.5053688077796,42.70005104667063,29.294452981636123,30.51893506364836
raw,gan_resnet,rgb_global_ssim_standard,192,0.7239350795226569,0.7463391525713605,0.15931499861909698,0.3560113981094024,0.590584109207287,0.858084124042344,0.9848395374147682,0.7013998429746802,0.7464703160706336
raw,gan_resnet,rgb_global_rmse,192,0.06462793855923875,0.04630486084859595,0.04616935345534915,0.0094039918997975,0.027904334982724578,0.08723459377278775,0.2050424532670337,0.05809724584102833,0.07115863127744917
raw,gan_resnet,band13_global_rmse,192,0.07809561371309824,0.07426638906385716,0.03778815510674618,0.0097221425382012,0.0495902149595038,0.10169653815261262,0.1847338977310849,0.07275044833994873,0.08344077908624775
raw,gan_resnet,rgb_global_pearson,192,0.4216918015675291,0.39462124538171006,0.35103452069306956,-0.791786274071313,0.19727247055263702,0.7287208569918372,0.9760165414692702,0.37203768218836536,0.47134592094669286
raw,gan_resnet,band13_global_pearson,192,0.688701304720555,0.7335229048185304,0.2248645198418357,-0.1140491556205273,0.5871701230575919,0.8602263788931301,0.9851753198584682,0.6568940349103944,0.7205085745307156
raw,gan_resnet,rgb_global_mse,192,0.006297277509659592,0.0021441659087042555,0.008434918145293405,8.8435063651457e-05,0.0007786523660081793,0.007624235215571997,0.042042407641763695,0.005104151455524078,0.007490403563795106
raw,gan_resnet,band13_global_mse,192,0.007519432335792945,0.005515733022163984,0.0068296423342410284,9.452005553310128e-05,0.002459378068873898,0.010342251393842145,0.034126612970918936,0.0065533738549579295,0.008485490816627961
raw,gan_resnet,rgb_mask_mse,141,0.0011993497123940803,0.0007238998728900836,0.0014660658323912316,5.852049295891561e-05,0.0003593440116711492,0.0013086099005736908,0.010419010571870686,0.0009573582815910612,0.0014413411431970994
raw,gan_resnet,rgb_mask_rmse,141,0.03062243572213475,0.026905387432447123,0.016232215793672813,0.0076498688197194345,0.018956371268551087,0.036174713552061345,0.10207355471360192,0.027943117346228414,0.03330175409804109
raw,gan_resnet,band13_mask_mse,141,0.0014844671988695996,0.000984907359176311,0.0016607914783505404,5.370254841730547e-05,0.0005616465806683602,0.0017659117162991747,0.013402274486706667,0.0012103340070087724,0.0017586003907304267
raw,gan_resnet,band13_mask_rmse,141,0.03502436960500668,0.03138323372720394,0.01611216561272196,0.0073282022636732315,0.023699083962642104,0.042022752364631884,0.11576819289730088,0.03236486692524072,0.03768387228477264
