model_key,model_label,output_kind,band_index,band,n_samples,n_mask_valid_samples,global_mae_mean,global_mae_median,global_mae_std,global_rmse_mean,global_rmse_median,global_rmse_std,global_psnr_mean,global_psnr_median,global_psnr_std,global_bias_mean,global_bias_median,global_bias_std,mask_mae_mean,mask_mae_median,mask_mae_std,mask_rmse_mean,mask_rmse_median,mask_rmse_std,mask_psnr_mean,mask_psnr_median,mask_psnr_std,mask_bias_mean,mask_bias_median,mask_bias_std
gan_resnet,GAN ResNet-like,raw,7,B8,192,141,0.0544643128572,0.0466333832592,0.0292768714582,0.072941704076,0.0662171281874,0.0345323278047,23.7577052229,23.5808350088,4.4161054557,0.0387249064624,0.0301188286394,0.0365474596246,0.0270165754779,0.0227821748704,0.015847833416,0.0324295764234,0.0289349080043,0.0166285348739,30.731526497,30.7715578819,4.06677445228,-0.00659723765952,-0.0050365193747,0.0245450844196
gan_resnet,GAN ResNet-like,raw,8,B8A,192,141,0.0697122694498,0.0615588892251,0.0440113336062,0.0965642131535,0.0962918028235,0.0524556260983,21.8867682637,20.3283188889,5.69557251097,0.0550003414149,0.0453930795193,0.0506629955874,0.0295766237925,0.0247938446701,0.0179785657317,0.0351823678812,0.0313131190419,0.0188263166902,30.0324729829,30.0854734192,3.98372434012,-0.00736973459465,-0.008056640625,0.0287153434629
gan_resnet,GAN ResNet-like,raw,9,B9,192,141,0.074729310841,0.0613484662026,0.0468869731373,0.0943731381267,0.0868354924023,0.0537406220186,22.2833030548,21.2270618378,6.20998919469,0.0695402018015,0.06071186997,0.0521483580382,0.0297845488328,0.0262459944934,0.0186334034393,0.0335588626312,0.0298426602621,0.0179876038621,30.6181619341,30.5032493038,4.55916700193,0.0177223965598,0.0165077541023,0.0288940706147
gan_resnet,GAN ResNet-like,raw,10,B10,192,141,0.025962562624,0.0145003958605,0.0293095990319,0.0343507386303,0.0243173884228,0.0327237300626,34.0784506994,32.2821441113,10.3631244659,0.0245889462861,0.0130951646715,0.0300878500717,0.00647950495147,0.00354053545743,0.00678594699936,0.00793902851367,0.0045822755833,0.00779549426889,46.0977757975,46.7783759079,8.78664488515,-0.000815366655649,-0.000700132222846,0.00869535713659
gan_resnet,GAN ResNet-like,raw,11,B11,192,141,0.0608820701721,0.0563070531934,0.0350930260664,0.0806655203147,0.0722567215562,0.0427362533131,22.9246452827,22.8225607963,4.41989037625,0.0176116900984,0.00989533029497,0.0477423248422,0.0410812004265,0.0320709645748,0.0277528764242,0.0488073057447,0.0402983174724,0.0307650991767,27.5810021058,27.8942617212,4.76966282087,-0.0107261263031,-0.00850175041705,0.0417363205043
gan_resnet,GAN ResNet-like,raw,12,B12,192,141,0.0517537553606,0.0491584856063,0.0238591600203,0.0684773662845,0.0672644078732,0.0300598210597,24.1993571919,23.4442942516,4.27052453042,0.0314767648233,0.028043246828,0.0333797027912,0.0371626053626,0.0284266714007,0.0292375725555,0.0432552627998,0.0355955319472,0.0335849929347,29.2497478585,28.9720902498,5.87867034369,-0.00205258853859,-0.00141938822344,0.0416906767724
conditional,Conditional Patch GAN,blended,0,B1,192,141,0.00668119905943,0.00560782430694,0.00475906350616,0.00827713827615,0.00661968556233,0.00627555462514,43.1642086882,43.5832868225,4.81343091069,-0.00167607201729,-0.00337231671438,0.00725981700209,0.0118027650702,0.008823226206,0.00955668558731,0.014390166914,0.0102984604287,0.0113087137323,38.891991351,39.7445539084,5.77428321212,0.000509980981206,0.00222772173583,0.0135309139941
conditional,Conditional Patch GAN,blended,1,B2,192,141,0.00664770398968,0.00585913099349,0.00434952696657,0.00796336558233,0.00659399712458,0.00571348347664,43.3747959831,43.617071636,4.64564749662,-0.00103303494689,-0.00307123735547,0.00678996168385,0.0119406980386,0.00881650391966,0.010719201658,0.0140364085306,0.0108273356271,0.0113792180041,38.7820661601,39.3095680139,5.20133842232,0.00509174759385,0.00526541937143,0.0137269300169
conditional,Conditional Patch GAN,blended,2,B3,192,141,0.00651233517419,0.00580367259681,0.00371244401448,0.00786218192661,0.0068044741638,0.0049810039146,43.2491179714,43.3441264748,4.28678392015,-0.000955846791233,-0.00283511402085,0.00604935847239,0.0124310432018,0.00913970824331,0.0118982171472,0.0146603367924,0.0111554689087,0.0123362473217,38.3593766867,39.0502433974,4.91262754521,0.00591987007141,0.00475657498464,0.0146792638307
conditional,Conditional Patch GAN,blended,3,B4,192,141,0.00734392321586,0.0063172376249,0.00469133827629,0.0093065190243,0.00776979629882,0.00618633005498,42.0143661747,42.1918088802,4.78580878324,-0.00081558730623,-0.00151095958427,0.00645402005051,0.0175067442833,0.0126953125,0.0171872381577,0.0203010459114,0.0150646514914,0.0174088439251,35.6070015373,36.4408182186,5.02835117669,0.00735217399098,0.00525506632403,0.0216315902655
conditional,Conditional Patch GAN,blended,4,B5,192,141,0.00796539721705,0.00676884315908,0.00444223323152,0.00992937614137,0.00817590532824,0.00604104189317,41.1142594218,41.7497690894,4.03755502976,-0.00166228187785,-0.00278161815368,0.00674930357631,0.0168896605598,0.0137195531279,0.0142210048907,0.0194983384471,0.0162853460738,0.0144032158961,35.7792241577,35.7640601594,5.06638604271,0.00660298405036,0.00479616317898,0.0194219341004
conditional,Conditional Patch GAN,blended,5,B6,192,141,0.0104049575639,0.00818577501923,0.00556117165882,0.0131616158615,0.010547967162,0.00696819200292,38.7201283408,39.5367183396,4.38413233445,-0.00307817870756,-0.00333307194524,0.00878955651533,0.01770387279,0.0138876466081,0.0133870843863,0.0203465328487,0.0174298924016,0.0135307641801,35.1366154476,35.1741058775,4.59793443902,0.00833152299465,0.0058252508752,0.0184822173374
conditional,Conditional Patch GAN,blended,6,B7,192,141,0.0114080713247,0.00895067211241,0.00627960893514,0.0146389215624,0.011893151328,0.00781425914213,37.8962856905,38.4941709518,4.63986708726,-0.00339174382073,-0.00334800546989,0.00971309365039,0.0192530727665,0.0152491778135,0.0134112419684,0.022165157343,0.01842583759,0.0133658439536,34.2304126797,34.6914552228,4.34084351343,0.0077946491981,0.00563153857365,0.0196606077009
