split,variable,n_pixels,min,p01,p05,p25,median,mean,p75,p95,p99,max,std,quantile_method
train,S2_B1_all_t,402653184,0.09650000184774399,0.1204833984375,0.1287841796875,0.1549072265625,0.1788330078125,0.24846476572934115,0.2486572265625,0.6712646484375,0.8272705078125,1.0,0.1659026991133513,4096-bin histogram over all pixels; maximum bin error 1/4096
validation,pseudo_target_B8,12582912,0.019845575094223022,0.0352783203125,0.0892333984375,0.1514892578125,0.1964111328125,0.19973033244464888,0.2452392578125,0.3233642578125,0.3824462890625,0.5734986066818237,0.07147878351874841,4096-bin histogram over all pixels; maximum bin error 1/4096
validation,S2_B8A_all_t,50331648,0.01080000028014183,0.0653076171875,0.1177978515625,0.1888427734375,0.2515869140625,0.29999000785802704,0.3453369140625,0.7220458984375,0.8795166015625,1.0,0.1743311631176717,4096-bin histogram over all pixels; maximum bin error 1/4096
validation,pseudo_target_B8A,12582912,0.01781107671558857,0.0357666015625,0.0980224609375,0.1639404296875,0.2125244140625,0.21553822704503553,0.2652587890625,0.3443603515625,0.4031982421875,0.6991155743598938,0.0758076690737279,4096-bin histogram over all pixels; maximum bin error 1/4096
validation,S2_B9_all_t,50331648,0.004800000227987766,0.0262451171875,0.0445556640625,0.0758056640625,0.1019287109375,0.15533847454467406,0.1651611328125,0.5050048828125,0.6151123046875,0.9645000100135803,0.13799471943576683,4096-bin histogram over all pixels; maximum bin error 1/4096
validation,pseudo_target_B9,12582912,0.0070958626456558704,0.0216064453125,0.0433349609375,0.0692138671875,0.0875244140625,0.091311081702478,0.1087646484375,0.1517333984375,0.1883544921875,0.35914409160614014,0.033574250101023495,4096-bin histogram over all pixels; maximum bin error 1/4096
validation,S2_B10_all_t,50331648,0.0003000000142492354,0.0008544921875,0.0010986328125,0.0015869140625,0.0023193359375,0.027103431247086557,0.0277099609375,0.1082763671875,0.3428955078125,0.6047000288963318,0.060477296043749906,4096-bin histogram over all pixels; maximum bin error 1/4096
validation,pseudo_target_B10,12582912,0.000791932747233659,0.0013427734375,0.0013427734375,0.0018310546875,0.0025634765625,0.003999169549613731,0.0042724609375,0.0098876953125,0.0281982421875,0.1349072903394699,0.005079331300406793,4096-bin histogram over all pixels; maximum bin error 1/4096
validation,S2_B11_all_t,50331648,0.002099999925121665,0.0426025390625,0.0950927734375,0.1658935546875,0.2213134765625,0.2350128137588814,0.2930908203125,0.4180908203125,0.5101318359375,1.0,0.09975623176177992,4096-bin histogram over all pixels; maximum bin error 1/4096
validation,pseudo_target_B11,12582912,0.006413037423044443,0.0164794921875,0.0811767578125,0.1439208984375,0.1986083984375,0.21164459257793297,0.2730712890625,0.3785400390625,0.4471435546875,0.9305368065834045,0.09269757150329312,4096-bin histogram over all pixels; maximum bin error 1/4096
validation,S2_B12_all_t,50331648,9.999999747378752e-05,0.0274658203125,0.0689697265625,0.1302490234375,0.1868896484375,0.19774182654203212,0.2559814453125,0.3609619140625,0.4429931640625,1.0,0.09151085923630156,4096-bin histogram over all pixels; maximum bin error 1/4096
validation,pseudo_target_B12,12582912,0.003841639729216695,0.0130615234375,0.0550537109375,0.1058349609375,0.1583251953125,0.1696591252009767,0.2254638671875,0.3201904296875,0.3802490234375,1.0,0.08277695770156326,4096-bin histogram over all pixels; maximum bin error 1/4096
validation,S1_VV_all_t,50331648,0.0,0.3480224609375,0.4324951171875,0.5330810546875,0.5972900390625,0.6006907578975547,0.6627197265625,0.7838134765625,0.9005126953125,1.0,0.10743262213152344,4096-bin histogram over all pixels; maximum bin error 1/4096
validation,S1_VH_all_t,50331648,0.0,0.0477294921875,0.1705322265625,0.2911376953125,0.3699951171875,0.36743209618796513,0.4456787109375,0.5572509765625,0.6551513671875,1.0,0.11957714887261667,4096-bin histogram over all pixels; maximum bin error 1/4096
validation,cloud_probability_t0,12582912,0.016075320541858673,0.0230712890625,0.0301513671875,0.0533447265625,0.0760498046875,0.10679646587609559,0.0992431640625,0.4693603515625,0.6866455078125,0.8640010356903076,0.12930160871625512,4096-bin histogram over all pixels; maximum bin error 1/4096
validation,cloud_probability_t1,12582912,0.020219849422574043,0.0330810546875,0.0487060546875,0.0706787109375,0.1011962890625,0.22663406414151557,0.3885498046875,0.6427001953125,0.6861572265625,0.8076486587524414,0.22035571358757672,4096-bin histogram over all pixels; maximum bin error 1/4096
validation,cloud_probability_t2,12582912,0.013642929494380951,0.0216064453125,0.0279541015625,0.0531005859375,0.0838623046875,0.11444187018390317,0.1055908203125,0.5687255859375,0.6514892578125,0.8615521192550659,0.13394908740995476,4096-bin histogram over all pixels; maximum bin error 1/4096
